period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
2014-12-31,7836000000.0,1360000000.0,15.0,63.43,17.8,33.74,2.84,2014-12-31,2014.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2015-12-31,8013000000.0,910000000.0,10.0,62.22,11.74,47.12,1.39,2015-12-31,2015.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2016-12-31,9032000000.0,1600000000.0,28.0,64.62,17.85,64.54,1.31,2016-12-31,2016.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2017-06-30,5475000000.0,1206000000.0,,,22.17,,,2017-06-30,2017.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2017-09-30,8345000000.0,1994000000.0000002,,67.47,24.03,,,2017-09-30,2017.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2017-12-31,11174000000.0,2589000000.0,47.0,67.03,23.28,53.91,1.38,2017-12-31,2017.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2018-03-31,3236000000.0,807000000.0,12.0,68.4,25.0,48.75,1.56,2018-03-31,2018.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2018-06-30,6808000000.0,1872000000.0,25.8,67.65,27.55,49.89,1.56,2018-06-30,2018.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2018-09-30,10280000000.0,2897000000.0,38.33,66.9,28.23,47.4,1.69,2018-09-30,2018.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2018-12-31,13753000000.0,3719000000.0,42.16,66.57,27.09,29.82,3.31,2018-12-31,2018.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2019-03-31,3906000000.0,1006000000.0,6.43,65.8,25.75,26.98,3.65,2019-03-31,2019.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2019-06-30,8206000000.0,2369000000.0,14.69,65.23,28.88,28.78,3.38,2019-06-30,2019.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2019-09-30,12379000000.0,3671000000.0,22.33,65.21,29.68,27.99,3.56,2019-09-30,2019.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2019-12-31,16556000000.0,4681000000.0,27.91,65.24,28.3,27.37,3.71,2019-12-31,2019.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2020-03-31,4741000000.0,1313000000.0,6.82,64.52,27.71,28.1,3.2,2020-03-31,2020.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2020-06-30,10564000000.0,3454000000.0,17.53,65.96,32.69,31.79,2.83,2020-06-30,2020.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2020-09-30,16063999999.999998,5363000000.0,26.53,66.84,33.39,28.34,3.31,2020-09-30,2020.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2020-12-31,21026000000.0,6658000000.0,32.29,64.97,31.67,30.07,2.63,2020-12-31,2020.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2021-03-31,5781000000.0,1714999999.9999998,7.1,65.03,29.68,28.61,2.66,2021-03-31,2021.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2021-06-30,12778000000.0,4344000000.0,17.43,65.57,34.01,27.54,2.77,2021-06-30,2021.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2021-09-30,19392000000.0,6663000000.0,26.49,65.6,34.37,27.53,2.41,2021-09-30,2021.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2021-12-31,25270000000.0,8002000000.0,31.92,65.01,31.67,29.22,2.47,2021-12-31,2021.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2022-03-31,6943000000.000001,2105000000.0,7.61,65.1,30.35,26.83,2.46,2022-03-31,2022.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2022-06-30,15356000000.0,5288000000.0,18.67,64.13,34.45,29.58,2.03,2022-06-30,2022.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2022-09-30,23296000000.0,8102000000.0,28.4,64.3,34.8,27.46,2.49,2022-09-30,2022.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2022-12-31,30366000000.000004,9607000000.0,33.38,64.15,31.65,31.55,2.6,2022-12-31,2022.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2023-03-31,8364000000.0,2571000000.0,7.72,66.4,30.75,28.6,2.78,2023-03-31,2023.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2023-06-30,18476000000.0,6442000000.0,18.65,65.6,34.87,29.53,2.65,2023-06-30,2023.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2023-09-30,27304000000.000004,9834000000.0,28.34,66.12,36.02,26.35,2.79,2023-09-30,2023.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2023-12-31,34932000000.0,11582000000.0,33.64,66.16,33.15,30.44,2.66,2023-12-31,2023.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2024-03-31,9373000000.0,3160000000.0,9.12,65.96,33.73,28.33,2.69,2024-03-31,2024.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2024-06-30,20531000000.0,7561000000.0,20.69,66.25,36.9,28.0,2.35,2024-06-30,2024.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2024-09-30,29485000000.000004,10637000000.0,28.68,64.87,36.3,27.06,2.34,2024-09-30,2024.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2024-12-31,36726000000.0,11668000000.0,32.58,63.11,31.97,28.04,2.46,2024-12-31,2024.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2025-03-31,8237000000.0,2629000000.0,7.06,62.53,32.69,25.37,2.54,2025-03-31,2025.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2025-06-30,16743000000.0,5069000000.0,13.26,61.67,31.25,25.1,2.56,2025-06-30,2025.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2025-09-30,25833999999.999996,7570000000.0,19.64,61.95,30.25,25.34,2.55,2025-09-30,2025.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2025-12-31,33282000000.0,8136000000.0,21.58,60.32,25.39,27.43,2.36,2025-12-31,2025.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
2026-03-31,8352000000.0,2330000000.0,5.96,61.87,29.05,24.77,2.39,2026-03-31,2026.0,stock_financial_abstract_ths,300760,迈瑞医疗,医疗器械
