feature_set,model,metric,value,valid_start,test_start,transaction_cost
base,lightgbm,Accuracy,0.48468271334792123,2024-01-01,2025-01-01,0.001
base,lightgbm,Precision,0.4750099960015994,2024-01-01,2025-01-01,0.001
base,lightgbm,Recall,0.922360248447205,2024-01-01,2025-01-01,0.001
base,lightgbm,F1-score,0.6270783847980997,2024-01-01,2025-01-01,0.001
base,lightgbm,DirectionHitRate,0.48468271334792123,2024-01-01,2025-01-01,0.001
base,lightgbm,strategy_cum_return,-0.3065180817822628,2024-01-01,2025-01-01,0.001
base,lightgbm,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,0.001
base,lightgbm,max_drawdown,-0.8021647993090857,2024-01-01,2025-01-01,0.001
base,lightgbm,trade_count,192.0,2024-01-01,2025-01-01,0.001
base,lightgbm,total_transaction_cost,0.192,2024-01-01,2025-01-01,0.001
base,lightgbm,valid_f1_at_threshold,0.5888059701492537,2024-01-01,2025-01-01,0.001
base,lightgbm,threshold,0.24,2024-01-01,2025-01-01,0.001
market,lightgbm,Accuracy,0.47191830780452226,2024-01-01,2025-01-01,0.001
market,lightgbm,Precision,0.4707174231332357,2024-01-01,2025-01-01,0.001
market,lightgbm,Recall,0.9984472049689441,2024-01-01,2025-01-01,0.001
market,lightgbm,F1-score,0.6398009950248756,2024-01-01,2025-01-01,0.001
market,lightgbm,DirectionHitRate,0.47191830780452226,2024-01-01,2025-01-01,0.001
market,lightgbm,strategy_cum_return,-0.3638351776565808,2024-01-01,2025-01-01,0.001
market,lightgbm,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,0.001
market,lightgbm,max_drawdown,-0.8251693737143768,2024-01-01,2025-01-01,0.001
market,lightgbm,trade_count,28.0,2024-01-01,2025-01-01,0.001
market,lightgbm,total_transaction_cost,0.028,2024-01-01,2025-01-01,0.001
market,lightgbm,valid_f1_at_threshold,0.5914254305606449,2024-01-01,2025-01-01,0.001
market,lightgbm,threshold,0.36,2024-01-01,2025-01-01,0.001
valuation,lightgbm,Accuracy,0.47301239970824216,2024-01-01,2025-01-01,0.001
valuation,lightgbm,Precision,0.47125595020139144,2024-01-01,2025-01-01,0.001
valuation,lightgbm,Recall,0.9992236024844721,2024-01-01,2025-01-01,0.001
valuation,lightgbm,F1-score,0.640457825329684,2024-01-01,2025-01-01,0.001
valuation,lightgbm,DirectionHitRate,0.47301239970824216,2024-01-01,2025-01-01,0.001
valuation,lightgbm,strategy_cum_return,-0.3514187132775868,2024-01-01,2025-01-01,0.001
valuation,lightgbm,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,0.001
valuation,lightgbm,max_drawdown,-0.8238540958744888,2024-01-01,2025-01-01,0.001
valuation,lightgbm,trade_count,22.0,2024-01-01,2025-01-01,0.001
valuation,lightgbm,total_transaction_cost,0.022000000000000002,2024-01-01,2025-01-01,0.001
valuation,lightgbm,valid_f1_at_threshold,0.592619926199262,2024-01-01,2025-01-01,0.001
valuation,lightgbm,threshold,0.34,2024-01-01,2025-01-01,0.001
financial,lightgbm,Accuracy,0.4726477024070022,2024-01-01,2025-01-01,0.001
financial,lightgbm,Precision,0.47091310751104565,2024-01-01,2025-01-01,0.001
financial,lightgbm,Recall,0.9930124223602484,2024-01-01,2025-01-01,0.001
financial,lightgbm,F1-score,0.6388611388611388,2024-01-01,2025-01-01,0.001
financial,lightgbm,DirectionHitRate,0.4726477024070022,2024-01-01,2025-01-01,0.001
financial,lightgbm,strategy_cum_return,-0.35950602522976294,2024-01-01,2025-01-01,0.001
financial,lightgbm,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,0.001
financial,lightgbm,max_drawdown,-0.8246880822066779,2024-01-01,2025-01-01,0.001
financial,lightgbm,trade_count,46.0,2024-01-01,2025-01-01,0.001
financial,lightgbm,total_transaction_cost,0.046,2024-01-01,2025-01-01,0.001
financial,lightgbm,valid_f1_at_threshold,0.5916852264291017,2024-01-01,2025-01-01,0.001
financial,lightgbm,threshold,0.42,2024-01-01,2025-01-01,0.001
financial,logistic,Accuracy,0.5419401896425966,2024-01-01,2025-01-01,0.001
financial,logistic,Precision,0.5404040404040404,2024-01-01,2025-01-01,0.001
financial,logistic,Recall,0.16614906832298137,2024-01-01,2025-01-01,0.001
financial,logistic,F1-score,0.25415676959619954,2024-01-01,2025-01-01,0.001
financial,logistic,DirectionHitRate,0.5419401896425966,2024-01-01,2025-01-01,0.001
financial,logistic,strategy_cum_return,0.15705392002880503,2024-01-01,2025-01-01,0.001
financial,logistic,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,0.001
financial,logistic,max_drawdown,-0.2756552957081849,2024-01-01,2025-01-01,0.001
financial,logistic,trade_count,172.0,2024-01-01,2025-01-01,0.001
financial,logistic,total_transaction_cost,0.17200000000000001,2024-01-01,2025-01-01,0.001
financial,logistic,valid_f1_at_threshold,0.556822982678496,2024-01-01,2025-01-01,0.001
financial,logistic,threshold,0.22,2024-01-01,2025-01-01,0.001
financial,random_forest,Accuracy,0.5105762217359592,2024-01-01,2025-01-01,0.001
financial,random_forest,Precision,0.4880742049469965,2024-01-01,2025-01-01,0.001
financial,random_forest,Recall,0.8579192546583851,2024-01-01,2025-01-01,0.001
financial,random_forest,F1-score,0.6221846846846847,2024-01-01,2025-01-01,0.001
financial,random_forest,DirectionHitRate,0.5105762217359592,2024-01-01,2025-01-01,0.001
financial,random_forest,strategy_cum_return,-0.14173451979177776,2024-01-01,2025-01-01,0.001
financial,random_forest,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,0.001
financial,random_forest,max_drawdown,-0.7331140594695762,2024-01-01,2025-01-01,0.001
financial,random_forest,trade_count,320.0,2024-01-01,2025-01-01,0.001
financial,random_forest,total_transaction_cost,0.32000000000000006,2024-01-01,2025-01-01,0.001
financial,random_forest,valid_f1_at_threshold,0.5940155153306244,2024-01-01,2025-01-01,0.001
financial,random_forest,threshold,0.62,2024-01-01,2025-01-01,0.001
